Tree,Model,Node,LogLikelihood,AICc,State,Probability
1,ER,PUA,-14.8945270046809,31.9890540093618,A,0.523875919846528
1,ER,PUA,-14.8945270046809,31.9890540093618,G,0.438804600369063
1,ER,PUA,-14.8945270046809,31.9890540093618,H,0.037319479784409
1,ER,PNUA,-14.8945270046809,31.9890540093618,A,0.0665369625220771
1,ER,PNUA,-14.8945270046809,31.9890540093618,G,0.928122568205849
1,ER,PNUA,-14.8945270046809,31.9890540093618,H,0.00534046927207356
1,ER,PSUA,-14.8945270046809,31.9890540093618,A,0.977270926634356
1,ER,PSUA,-14.8945270046809,31.9890540093618,G,0.0199981506832591
1,ER,PSUA,-14.8945270046809,31.9890540093618,H,0.00273092268238449
1,SYM,PUA,-14.2172116926392,35.7677567186117,A,0.197787513505344
1,SYM,PUA,-14.2172116926392,35.7677567186117,G,0.799271809022265
1,SYM,PUA,-14.2172116926392,35.7677567186117,H,0.00294067747239059
1,SYM,PNUA,-14.2172116926392,35.7677567186117,A,0.0323191166912775
1,SYM,PNUA,-14.2172116926392,35.7677567186117,G,0.966641428570319
1,SYM,PNUA,-14.2172116926392,35.7677567186117,H,0.00103945473840352
1,SYM,PSUA,-14.2172116926392,35.7677567186117,A,0.971575753969344
1,SYM,PSUA,-14.2172116926392,35.7677567186117,G,0.0284186115334026
1,SYM,PSUA,-14.2172116926392,35.7677567186117,H,5.63449725343023e-06
1,ARD,PUA,-12.9090944109426,43.4181888218852,A,2.73034335139449e-06
1,ARD,PUA,-12.9090944109426,43.4181888218852,G,0.999997269654765
1,ARD,PUA,-12.9090944109426,43.4181888218852,H,1.88316762170435e-12
1,ARD,PNUA,-12.9090944109426,43.4181888218852,A,3.39680940200023e-12
1,ARD,PNUA,-12.9090944109426,43.4181888218852,G,0.999999999996537
1,ARD,PNUA,-12.9090944109426,43.4181888218852,H,6.65233883999961e-14
1,ARD,PSUA,-12.9090944109426,43.4181888218852,A,0.950036308739657
1,ARD,PSUA,-12.9090944109426,43.4181888218852,G,0.0499636912599886
1,ARD,PSUA,-12.9090944109426,43.4181888218852,H,3.54385183830838e-13
2,ER,PUA,-14.9756028128743,32.1512056257486,A,0.273013359744468
2,ER,PUA,-14.9756028128743,32.1512056257486,G,0.726662342935202
2,ER,PUA,-14.9756028128743,32.1512056257486,H,0.000324297320329914
2,ER,PNUA,-14.9756028128743,32.1512056257486,A,0.0398289903599504
2,ER,PNUA,-14.9756028128743,32.1512056257486,G,0.956768279580635
2,ER,PNUA,-14.9756028128743,32.1512056257486,H,0.00340273005941461
2,ER,PSUA,-14.9756028128743,32.1512056257486,A,0.994125929125202
2,ER,PSUA,-14.9756028128743,32.1512056257486,G,0.00546984946505727
2,ER,PSUA,-14.9756028128743,32.1512056257486,H,0.000404221409740652
2,SYM,PUA,-13.9928783440165,35.3190900213664,A,0.174079154766227
2,SYM,PUA,-13.9928783440165,35.3190900213664,G,0.825920651440286
2,SYM,PUA,-13.9928783440165,35.3190900213664,H,1.93793486534206e-07
2,SYM,PNUA,-13.9928783440165,35.3190900213664,A,0.00507122066242539
2,SYM,PNUA,-13.9928783440165,35.3190900213664,G,0.994006336445008
2,SYM,PNUA,-13.9928783440165,35.3190900213664,H,0.000922442892566602
2,SYM,PSUA,-13.9928783440165,35.3190900213664,A,0.99622540550315
2,SYM,PSUA,-13.9928783440165,35.3190900213664,G,0.00377447912857266
2,SYM,PSUA,-13.9928783440165,35.3190900213664,H,1.15368276895709e-07
2,ARD,PUA,-12.1716554547771,41.9433109095542,A,4.75435773512027e-17
2,ARD,PUA,-12.1716554547771,41.9433109095542,G,1
2,ARD,PUA,-12.1716554547771,41.9433109095542,H,3.71887670181223e-17
2,ARD,PNUA,-12.1716554547771,41.9433109095542,A,8.02455936203839e-16
2,ARD,PNUA,-12.1716554547771,41.9433109095542,G,0.99999999999999
2,ARD,PNUA,-12.1716554547771,41.9433109095542,H,8.98809830017509e-15
2,ARD,PSUA,-12.1716554547771,41.9433109095542,A,0.490075787678128
2,ARD,PSUA,-12.1716554547771,41.9433109095542,G,0.0191117998396318
2,ARD,PSUA,-12.1716554547771,41.9433109095542,H,0.49081241248224
3,ER,PUA,-15.0279315328522,32.2558630657044,A,0.418235237250815
3,ER,PUA,-15.0279315328522,32.2558630657044,G,0.54835323262499
3,ER,PUA,-15.0279315328522,32.2558630657044,H,0.0334115301241949
3,ER,PNUA,-15.0279315328522,32.2558630657044,A,0.0561745060274717
3,ER,PNUA,-15.0279315328522,32.2558630657044,G,0.939733313079724
3,ER,PNUA,-15.0279315328522,32.2558630657044,H,0.00409218089280457
3,ER,PSUA,-15.0279315328522,32.2558630657044,A,0.96876006710149
3,ER,PSUA,-15.0279315328522,32.2558630657044,G,0.0281036836944453
3,ER,PSUA,-15.0279315328522,32.2558630657044,H,0.00313624920406509
3,SYM,PUA,-14.240329290694,35.8139919147213,A,0.0851140391678116
3,SYM,PUA,-14.240329290694,35.8139919147213,G,0.912932291021824
3,SYM,PUA,-14.240329290694,35.8139919147213,H,0.00195366981036376
3,SYM,PNUA,-14.240329290694,35.8139919147213,A,0.013614500985969
3,SYM,PNUA,-14.240329290694,35.8139919147213,G,0.985755206724061
3,SYM,PNUA,-14.240329290694,35.8139919147213,H,0.000630292289969551
3,SYM,PSUA,-14.240329290694,35.8139919147213,A,0.966640269946896
3,SYM,PSUA,-14.240329290694,35.8139919147213,G,0.0333543889739005
3,SYM,PSUA,-14.240329290694,35.8139919147213,H,5.34107920335517e-06
3,ARD,PUA,-13.0084058207059,43.6168116414118,A,8.84009248957366e-07
3,ARD,PUA,-13.0084058207059,43.6168116414118,G,0.999999115990201
3,ARD,PUA,-13.0084058207059,43.6168116414118,H,5.50397562151745e-13
3,ARD,PNUA,-13.0084058207059,43.6168116414118,A,7.71232050099996e-13
3,ARD,PNUA,-13.0084058207059,43.6168116414118,G,0.999999999999206
3,ARD,PNUA,-13.0084058207059,43.6168116414118,H,2.25237827401063e-14
3,ARD,PSUA,-13.0084058207059,43.6168116414118,A,0.945551543235204
3,ARD,PSUA,-13.0084058207059,43.6168116414118,G,0.0544484567645626
3,ARD,PSUA,-13.0084058207059,43.6168116414118,H,2.33936477439594e-13
4,ER,PUA,-15.5884868040475,33.3769736080949,A,0.209215889529836
4,ER,PUA,-15.5884868040475,33.3769736080949,G,0.778409760581412
4,ER,PUA,-15.5884868040475,33.3769736080949,H,0.0123743498887517
4,ER,PNUA,-15.5884868040475,33.3769736080949,A,0.0608139045182076
4,ER,PNUA,-15.5884868040475,33.3769736080949,G,0.937500706350047
4,ER,PNUA,-15.5884868040475,33.3769736080949,H,0.0016853891317451
